Fold,Event,corpus,f1,bal_acc
5,S-pred future ,CND,0.83,0.82
1,S-pred now,CND,0.81,0.81
2,S-pred now,CND,0.81,0.81
3,S-pred now,CND,0.81,0.81
4,S-pred now,CND,0.80,0.80
5,S-pred now,CND,0.80,0.80
1,backchannel,CND,0.74,0.75
2,backchannel,CND,0.74,0.74
3,backchannel,CND,0.72,0.73
4,backchannel,CND,0.71,0.70
5,backchannel,CND,0.72,0.72
1,short/long,CND,0.66,0.64
2,short/long,CND,0.65,0.62
3,short/long,CND,0.61,0.59
4,short/long,CND,0.61,0.59
5,short/long,CND,0.64,0.62
1,overlaps_after future,CND,0.81,0.75
2,overlaps_after future,CND,0.79,0.74
3,overlaps_after future,CND,0.81,0.75
4,overlaps_after future,CND,0.81,0.76
5,overlaps_after future,CND,0.80,0.74
1,overlaps_after now,CND,0.72,0.63
2,overlaps_after now,CND,0.71,0.61
3,overlaps_after now,CND,0.72,0.64
4,overlaps_after now,CND,0.72,0.64
5,overlaps_after now,CND,0.72,0.63
1,overlaps_before future,CND,0.76,0.69
2,overlaps_before future,CND,0.75,0.67
3,overlaps_before future,CND,0.76,0.70
4,overlaps_before future,CND,0.76,0.69
5,overlaps_before future,CND,0.76,0.68
1,overlaps_before now,CND,0.66,0.57
2,overlaps_before now,CND,0.66,0.57
3,overlaps_before now,CND,0.68,0.59
4,overlaps_before now,CND,0.67,0.58
5,overlaps_before now,CND,0.66,0.57
1,Shift/Hold future,SWB_ASR-->CND,0.70,0.63
2,Shift/Hold future,SWB_ASR-->CND,0.69,0.63
3,Shift/Hold future,SWB_ASR-->CND,0.68,0.61
4,Shift/Hold future,SWB_ASR-->CND,0.70,0.63
5,Shift/Hold future,SWB_ASR-->CND,0.70,0.63
1,Shift/Hold now,SWB_ASR-->CND,0.71,0.64
2,Shift/Hold now,SWB_ASR-->CND,0.69,0.63
3,Shift/Hold now,SWB_ASR-->CND,0.69,0.62
4,Shift/Hold now,SWB_ASR-->CND,0.70,0.64
5,Shift/Hold now,SWB_ASR-->CND,0.70,0.64
1,S-pred future ,SWB_ASR-->CND,0.67,0.66
2,S-pred future ,SWB_ASR-->CND,0.65,0.65
3,S-pred future ,SWB_ASR-->CND,0.66,0.66
4,S-pred future ,SWB_ASR-->CND,0.67,0.67
5,S-pred future ,SWB_ASR-->CND,0.67,0.67
1,S-pred now,SWB_ASR-->CND,0.73,0.73
2,S-pred now,SWB_ASR-->CND,0.72,0.72
3,S-pred now,SWB_ASR-->CND,0.72,0.72
4,S-pred now,SWB_ASR-->CND,0.72,0.71
5,S-pred now,SWB_ASR-->CND,0.73,0.73
1,backchannel,SWB_ASR-->CND,0.72,0.70
2,backchannel,SWB_ASR-->CND,0.70,0.69
3,backchannel,SWB_ASR-->CND,0.72,0.69
4,backchannel,SWB_ASR-->CND,0.69,0.66
5,backchannel,SWB_ASR-->CND,0.68,0.64
1,short/long,SWB_ASR-->CND,0.65,0.64
2,short/long,SWB_ASR-->CND,0.57,0.55
3,short/long,SWB_ASR-->CND,0.61,0.60
4,short/long,SWB_ASR-->CND,0.56,0.54
5,short/long,SWB_ASR-->CND,0.58,0.56
1,overlaps_after future,SWB_ASR-->CND,0.69,0.60
2,overlaps_after future,SWB_ASR-->CND,0.68,0.60
3,overlaps_after future,SWB_ASR-->CND,0.66,0.56
4,overlaps_after future,SWB_ASR-->CND,0.69,0.60
5,overlaps_after future,SWB_ASR-->CND,0.67,0.57
1,overlaps_after now,SWB_ASR-->CND,0.64,0.54
2,overlaps_after now,SWB_ASR-->CND,0.65,0.56
3,overlaps_after now,SWB_ASR-->CND,0.64,0.54
4,overlaps_after now,SWB_ASR-->CND,0.64,0.54
5,overlaps_after now,SWB_ASR-->CND,0.64,0.54
1,overlaps_before future,SWB_ASR-->CND,0.69,0.60
2,overlaps_before future,SWB_ASR-->CND,0.69,0.61
3,overlaps_before future,SWB_ASR-->CND,0.66,0.56
4,overlaps_before future,SWB_ASR-->CND,0.68,0.59
5,overlaps_before future,SWB_ASR-->CND,0.68,0.59
1,overlaps_before now,SWB_ASR-->CND,0.64,0.54
2,overlaps_before now,SWB_ASR-->CND,0.65,0.55
3,overlaps_before now,SWB_ASR-->CND,0.63,0.54
4,overlaps_before now,SWB_ASR-->CND,0.64,0.54
5,overlaps_before now,SWB_ASR-->CND,0.64,0.54
1,Shift/Hold future,CND-->SWB_ASR,0.77,0.57
2,Shift/Hold future,CND-->SWB_ASR,0.76,0.57
3,Shift/Hold future,CND-->SWB_ASR,0.75,0.55
4,Shift/Hold future,CND-->SWB_ASR,0.76,0.56
