,f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
0,0.8726227283477783,0.9306491017341614,0.4880046844482422,ekstedt_events,shift_hold_p_future,0.7499869959564269,SWB_GT
1,0.8793783783912659,0.9368023872375488,0.4987531304359436,ekstedt_events,shift_hold_p_future,0.762101118073978,SWB_GT
2,0.8783845901489258,0.9318544268608093,0.5239687561988831,ekstedt_events,shift_hold_p_future,0.7710815223491599,SWB_GT
3,0.8624225854873657,0.9314129948616028,0.40513166785240173,ekstedt_events,shift_hold_p_future,0.7170620409230407,SWB_GT
4,0.8787937164306641,0.9381499886512756,0.48536109924316406,ekstedt_events,shift_hold_p_future,0.7472734284955553,SWB_GT
0,0.6631132364273071,0.6663066744804382,0.6600660085678101,ekstedt_events,s_pred_p_future,0.6637968536056595,SWB_GT
1,0.7008280754089355,0.7106652855873108,0.6914414167404175,ekstedt_events,s_pred_p_future,0.7054278630381865,SWB_GT
2,0.7010345458984375,0.7143602967262268,0.6883190870285034,ekstedt_events,s_pred_p_future,0.7033151719154115,SWB_GT
3,0.6493736505508423,0.6352807879447937,0.6628211736679077,ekstedt_events,s_pred_p_future,0.6490282215122471,SWB_GT
4,0.6735774278640747,0.6732133030891418,0.6739248633384705,ekstedt_events,s_pred_p_future,0.6755280836376083,SWB_GT
0,0.8615935444831848,0.9310291409492493,0.40135136246681213,ekstedt_events,shift_hold_p_now,0.7317205923820944,SWB_GT
1,0.8596379160881042,0.9280851483345032,0.4059469997882843,ekstedt_events,shift_hold_p_now,0.7482808141078816,SWB_GT
2,0.862181544303894,0.9310586452484131,0.4056413769721985,ekstedt_events,shift_hold_p_now,0.748628415614708,SWB_GT
3,0.8534692525863647,0.9316397309303284,0.3353293538093567,ekstedt_events,shift_hold_p_now,0.6947967228441349,SWB_GT
4,0.8624565601348877,0.9293878078460693,0.41881442070007324,ekstedt_events,shift_hold_p_now,0.7421825165425122,SWB_GT
0,0.7452713251113892,0.75066739320755,0.7401224374771118,ekstedt_events,s_pred_p_now,0.7467100258633805,SWB_GT
1,0.7847411632537842,0.7847411632537842,0.7847411632537842,ekstedt_events,s_pred_p_now,0.7853767305644302,SWB_GT
2,0.7798529863357544,0.7789934277534485,0.7806732058525085,ekstedt_events,s_pred_p_now,0.7801755286779248,SWB_GT
3,0.7388370633125305,0.7217695116996765,0.7551229596138,ekstedt_events,s_pred_p_now,0.7384209075003804,SWB_GT
4,0.7548637390136719,0.7630606889724731,0.7470422387123108,ekstedt_events,s_pred_p_now,0.7564949651985395,SWB_GT
0,0.6864551901817322,0.7623817324638367,0.5269571542739868,ekstedt_events,backchannel,0.6808329642303638,SWB_GT
1,0.6948975324630737,0.7693731784820557,0.5384472608566284,ekstedt_events,backchannel,0.6790285809895644,SWB_GT
2,0.7019723653793335,0.7762212157249451,0.5459985136985779,ekstedt_events,backchannel,0.6893544284402141,SWB_GT
3,0.709930419921875,0.7892076969146729,0.5433932542800903,ekstedt_events,backchannel,0.6962444435699471,SWB_GT
4,0.6908763647079468,0.7806830406188965,0.5022204518318176,ekstedt_events,backchannel,0.6679497355715626,SWB_GT
0,0.6891681551933289,0.4092872440814972,0.7964272499084473,ekstedt_events,short_long,0.6100283713223988,SWB_GT
1,0.6665300726890564,0.3563918173313141,0.7853847742080688,ekstedt_events,short_long,0.5940001805239172,SWB_GT
2,0.6768554449081421,0.41075050830841064,0.7788351774215698,ekstedt_events,short_long,0.6151077100541114,SWB_GT
3,0.7223234176635742,0.48272252082824707,0.8141459822654724,ekstedt_events,short_long,0.6632299553432784,SWB_GT
4,0.6544979810714722,0.3199999928474426,0.7826880812644958,ekstedt_events,short_long,0.5963301629457831,SWB_GT
0,0.6142280101776123,0.7140381336212158,0.46078431606292725,roddy_events,overlaps_before_p_now,0.594357610914169,SWB_GT
1,0.6238446235656738,0.6800765991210938,0.5373961329460144,roddy_events,overlaps_before_p_now,0.61307874100333,SWB_GT
2,0.6347653269767761,0.7007434964179993,0.5333333611488342,roddy_events,overlaps_before_p_now,0.6167042646900849,SWB_GT
3,0.6191540956497192,0.7042002081871033,0.48840802907943726,roddy_events,overlaps_before_p_now,0.5952357933182941,SWB_GT
4,0.6279314756393433,0.6991720199584961,0.5184094309806824,roddy_events,overlaps_before_p_now,0.6096465785798689,SWB_GT
0,0.6478554010391235,0.7236723899841309,0.5312976837158203,roddy_events,overlaps_before_p_future,0.6257009345794393,SWB_GT
1,0.6618702411651611,0.7339946031570435,0.5509893298149109,roddy_events,overlaps_before_p_future,0.6404313030400688,SWB_GT
2,0.6734457612037659,0.7395263910293579,0.5718562602996826,roddy_events,overlaps_before_p_future,0.6538645396927705,SWB_GT
3,0.6423959732055664,0.7298245429992676,0.5079872012138367,roddy_events,overlaps_before_p_future,0.6172333225910409,SWB_GT
4,0.6437197923660278,0.7659919261932373,0.4557438790798187,roddy_events,overlaps_before_p_future,0.6288833387044795,SWB_GT
0,0.6747781038284302,0.7519859075546265,0.5560821294784546,roddy_events,overlaps_after_p_now,0.6530561821892792,SWB_GT
1,0.6816623210906982,0.7624021172523499,0.5575364828109741,roddy_events,overlaps_after_p_now,0.6621092491137608,SWB_GT
2,0.6851940751075745,0.7442290186882019,0.5944362878799438,roddy_events,overlaps_after_p_now,0.6704936083360189,SWB_GT
3,0.6746035218238831,0.7495559453964233,0.559374988079071,roddy_events,overlaps_after_p_now,0.6606026426039316,SWB_GT
4,0.6918874979019165,0.768153965473175,0.574638843536377,roddy_events,overlaps_after_p_now,0.6681759587495971,SWB_GT
