,kind,metric,corpus,f1_weighted,f1_0,f1_1,bal_acc
0,ekstedt_events,backchannel,CND,0.7311031460762024,0.76424720287323,0.6738962054252624,0.7536244786602481
1,ekstedt_events,backchannel,CND_multimodal_early_fusion,0.7348213195800781,0.7640909075736999,0.6843017697334289,0.7582560225513294
2,ekstedt_events,backchannel,CND_multimodal_late_fusion,0.7385717153549194,0.7685154795646667,0.6868885278701782,0.7641982971385437
3,ekstedt_events,backchannel,CND_video_only,0.7359734416007996,0.7665488243103027,0.6832000374794006,0.7546994541149029
4,ekstedt_events,s_pred_p_future,CND,0.8342621445655822,0.8138352870941162,0.8508143067359925,0.8324376224173667
5,ekstedt_events,s_pred_p_future,CND_multimodal_early_fusion,0.8526779413223267,0.8362222790718079,0.8660122036933899,0.8526511061838644
6,ekstedt_events,s_pred_p_future,CND_multimodal_late_fusion,0.8510262131690979,0.8312061309814454,0.8670867085456848,0.8495934160949179
7,ekstedt_events,s_pred_p_future,CND_video_only,0.7009079933166504,0.6654176235198974,0.7296663045883178,0.6984860313451309
8,ekstedt_events,s_pred_p_now,CND,0.8208364367485046,0.7919705748558045,0.84422687292099,0.8173767678268643
9,ekstedt_events,s_pred_p_now,CND_multimodal_early_fusion,0.8348359227180481,0.8097757339477539,0.8551425576210022,0.8317246219230958
10,ekstedt_events,s_pred_p_now,CND_multimodal_late_fusion,0.8335970163345336,0.8096732497215271,0.8529827356338501,0.8311016092763127
11,ekstedt_events,s_pred_p_now,CND_video_only,0.6691574931144715,0.6081901550292969,0.7185601949691772,0.664188978071158
12,ekstedt_events,shift_hold_p_future,CND,0.8281707525253296,0.8821730136871337,0.6898592710494995,0.8055119365312837
13,ekstedt_events,shift_hold_p_future,CND_multimodal_early_fusion,0.8445822119712829,0.8928742408752441,0.7208957433700561,0.8268571279235564
14,ekstedt_events,shift_hold_p_future,CND_multimodal_late_fusion,0.8499750375747681,0.8964248418807983,0.7310069322586059,0.8314881857577452
