,kind,metric,corpus,f1_weighted,f1_0,f1_1,bal_acc
0,ekstedt_events,backchannel,CND,0.7311031460762024,0.76424720287323,0.6738962054252624,0.7536244786602481
1,ekstedt_events,backchannel,CND-->SWB_ASR,0.6451634168624878,0.674026894569397,0.6079021334648133,0.6529319699499165
2,ekstedt_events,backchannel,CND_multimodal_early_fusion,0.7348213195800781,0.7640909075736999,0.6843017697334289,0.7582560225513294
3,ekstedt_events,backchannel,CND_multimodal_late_fusion,0.7385717153549194,0.7685154795646667,0.6868885278701782,0.7641982971385437
4,ekstedt_events,backchannel,CND_video_only,0.7359734416007996,0.7665488243103027,0.6832000374794006,0.7546994541149029
5,ekstedt_events,backchannel,SWB_ASR,0.7342441797256469,0.7628588914871216,0.697304105758667,0.7349200895170112
6,ekstedt_events,backchannel,SWB_ASR-->CND,0.7131166577339172,0.7733882904052735,0.6090872526168823,0.7097421806796762
7,ekstedt_events,backchannel,SWB_GT,0.6968263745307922,0.7755733728408813,0.5314033269882202,0.6826820305603304
8,ekstedt_events,backchannel,combined-->CND,0.7350079417228699,0.7673912286758423,0.6791141033172607,0.7571378877850097
9,ekstedt_events,backchannel,combined-->SWB_ASR,0.679311192035675,0.6891216516494751,0.6666464328765869,0.685858974727995
10,ekstedt_events,s_pred_p_future,CND,0.8342621445655822,0.8138352870941162,0.8508143067359925,0.8324376224173667
11,ekstedt_events,s_pred_p_future,CND-->SWB_ASR,0.5922056198120117,0.5897800326347351,0.5947483062744141,0.601564668283855
12,ekstedt_events,s_pred_p_future,CND_multimodal_early_fusion,0.8526779413223267,0.8362222790718079,0.8660122036933899,0.8526511061838644
13,ekstedt_events,s_pred_p_future,CND_multimodal_late_fusion,0.8510262131690979,0.8312061309814454,0.8670867085456848,0.8495934160949179
14,ekstedt_events,s_pred_p_future,CND_video_only,0.7009079933166504,0.6654176235198974,0.7296663045883178,0.6984860313451309
15,ekstedt_events,s_pred_p_future,SWB_ASR,0.7200544476509094,0.7472393393516541,0.691556966304779,0.7210633398790959
16,ekstedt_events,s_pred_p_future,SWB_ASR-->CND,0.6799002408981323,0.6501046538352966,0.704043984413147,0.6811618892375073
17,ekstedt_events,s_pred_p_future,SWB_GT,0.6775853872299195,0.6799652695655822,0.6753145098686218,0.6794192387418226
18,ekstedt_events,s_pred_p_future,combined-->CND,0.8376916408538818,0.8172755718231202,0.854235053062439,0.8358344448070794
19,ekstedt_events,s_pred_p_future,combined-->SWB_ASR,0.7279661178588868,0.7562309861183166,0.6983364939689636,0.7286655115320935
20,ekstedt_events,s_pred_p_now,CND,0.8208364367485046,0.7919705748558045,0.84422687292099,0.8173767678268643
21,ekstedt_events,s_pred_p_now,CND-->SWB_ASR,0.5451091170310974,0.4738615572452545,0.6197968602180481,0.5764951676870356
22,ekstedt_events,s_pred_p_now,CND_multimodal_early_fusion,0.8348359227180481,0.8097757339477539,0.8551425576210022,0.8317246219230958
23,ekstedt_events,s_pred_p_now,CND_multimodal_late_fusion,0.8335970163345336,0.8096732497215271,0.8529827356338501,0.8311016092763127
24,ekstedt_events,s_pred_p_now,CND_video_only,0.6691574931144715,0.6081901550292969,0.7185601949691772,0.664188978071158
25,ekstedt_events,s_pred_p_now,SWB_ASR,0.7724704146385193,0.7840297818183899,0.760352885723114,0.7720908705864233
26,ekstedt_events,s_pred_p_now,SWB_ASR-->CND,0.7417160868644714,0.7096072435379028,0.7677343249320984,0.7406511290792508
27,ekstedt_events,s_pred_p_now,SWB_GT,0.760713255405426,0.7598464369773865,0.7615404009819031,0.7614356315609311
28,ekstedt_events,s_pred_p_now,combined-->CND,0.8209699630737305,0.7947730183601379,0.8421976685523986,0.8170477925480455
29,ekstedt_events,s_pred_p_now,combined-->SWB_ASR,0.8250811576843262,0.8304397583007812,0.8194638609886169,0.8248986946979322
30,ekstedt_events,shift_hold_p_future,CND,0.8281707525253296,0.8821730136871337,0.6898592710494995,0.8055119365312837
31,ekstedt_events,shift_hold_p_future,CND-->SWB_ASR,0.7601111769676209,0.8733023643493653,0.2900873780250549,0.6117309430012489
32,ekstedt_events,shift_hold_p_future,CND_multimodal_early_fusion,0.8445822119712829,0.8928742408752441,0.7208957433700561,0.8268571279235564
33,ekstedt_events,shift_hold_p_future,CND_multimodal_late_fusion,0.8499750375747681,0.8964248418807983,0.7310069322586059,0.8314881857577452
34,ekstedt_events,shift_hold_p_future,CND_video_only,0.7190204501152039,0.8152618527412414,0.47252523303031924,0.6766819464038859
35,ekstedt_events,shift_hold_p_future,SWB_ASR,0.809678602218628,0.8924665808677673,0.4659034311771393,0.713561601545307
36,ekstedt_events,shift_hold_p_future,SWB_ASR-->CND,0.7136294126510621,0.8074236989021302,0.47340171933174136,0.665194869911317
37,ekstedt_events,shift_hold_p_future,SWB_GT,0.8743203997611999,0.9337737798690796,0.4802438676357269,0.7495010211596321
38,ekstedt_events,shift_hold_p_future,combined-->CND,0.8295820593833924,0.8830142498016358,0.6927305936813355,0.8075328159981888
39,ekstedt_events,shift_hold_p_future,combined-->SWB_ASR,0.8215370774269104,0.8985552668571473,0.5017208635807038,0.7277925484347078
40,ekstedt_events,shift_hold_p_now,CND,0.8024805665016175,0.8650280475616455,0.6422827959060669,0.7733831465833567
41,ekstedt_events,shift_hold_p_now,CND-->SWB_ASR,0.7357325673103332,0.8645265221595764,0.20091863721609116,0.5779322497313287
42,ekstedt_events,shift_hold_p_now,CND_multimodal_early_fusion,0.8201242804527282,0.877985668182373,0.6719286918640137,0.7929849878499245
