corpus,kind,metric,Unnamed: 0,f1_weighted,f1_0,f1_1,bal_acc
CND,ekstedt_events,shift_hold_p_future_after,2.0,0.8323976516723632,0.8835402131080627,0.7014104008674622,0.7924493626128208
CND,ekstedt_events,shift_hold_p_future_before,2.0,0.8126311540603638,0.8703684568405151,0.6647533535957336,0.7664190917461723
CND,gap_0,shift_hold_p_future_after,2.0,0.8779415488243103,0.9237855553627015,0.7036921143531799,0.8096305005718142
CND,gap_0,shift_hold_p_future_before,2.0,0.8589464902877808,0.9126161336898804,0.6549523353576661,0.7776886790515727
CND,gap_1000,shift_hold_p_future_after,2.0,0.7453666567802429,0.7931105852127075,0.6585994005203247,0.7330604496310084
CND,gap_1000,shift_hold_p_future_before,2.0,0.7349115371704101,0.7884720444679261,0.6375735402107239,0.7169843500436595
CND,gap_1250,shift_hold_p_future_after,2.0,0.7320284605026245,0.7762801051139832,0.6551172971725464,0.7238827670417397
CND,gap_1250,shift_hold_p_future_before,2.0,0.7204614400863647,0.7710545897483826,0.6325285077095032,0.7067548968972137
CND,gap_1500,shift_hold_p_future_after,2.0,0.7387724041938781,0.7805653810501099,0.6714786410331726,0.7306422836752898
CND,gap_1500,shift_hold_p_future_before,2.0,0.7264222264289856,0.7708071112632752,0.6549550771713257,0.7167885816235504
CND,gap_2000,shift_hold_p_future_after,2.0,0.44999998807907093,0.75,0.0,0.5
CND,gap_2000,shift_hold_p_future_before,2.0,0.5213553190231324,0.7038461565971375,0.24761905670166015,0.5666666666666667
CND,gap_500,shift_hold_p_future_after,2.0,0.8009170651435852,0.8535354495048523,0.6878705501556397,0.7715412424979412
CND,gap_500,shift_hold_p_future_before,2.0,0.7800046563148498,0.8385643005371094,0.6541938185691833,0.746722845991906
CND,gap_750,shift_hold_p_future_after,2.0,0.7701207160949707,0.8203543066978455,0.6724086046218872,0.7519841356208824
CND,gap_750,shift_hold_p_future_before,2.0,0.7571548342704773,0.8137457489967346,0.6470768213272095,0.7325071482278228
CND_multimodal_early_fusion,ekstedt_events,shift_hold_p_future_after,1.0,0.8416772484779358,0.8915222485860189,0.714013417561849,0.822816666209799
CND_multimodal_early_fusion,ekstedt_events,shift_hold_p_future_before,1.0,0.832232395807902,0.8843119740486145,0.6988451679547628,0.8109385453362549
CND_multimodal_late_fusion,ekstedt_events,shift_hold_p_future_after,2.0,0.8499560952186584,0.8962153792381287,0.7314759135246277,0.8315006703171575
CND_multimodal_late_fusion,ekstedt_events,shift_hold_p_future_before,2.0,0.8393686652183533,0.8885283708572388,0.7134599208831787,0.8199763105840232
CND_video_only,ekstedt_events,shift_hold_p_future_after,2.0,0.7190204501152039,0.8152618527412414,0.47252523303031924,0.6766819464038859
CND_video_only,ekstedt_events,shift_hold_p_future_before,2.0,0.7037917494773864,0.8041770219802856,0.4466831862926483,0.6597959015989467
SWB_ASR,ekstedt_events,shift_hold_p_future_after,2.0,0.8093654394149781,0.8963957905769349,0.44797380566596984,0.6507989763273762
SWB_ASR,ekstedt_events,shift_hold_p_future_before,2.0,0.7900099396705628,0.8850120544433594,0.39551575779914855,0.6249248420243896
SWB_ASR,gap_0,shift_hold_p_future_after,2.0,0.8573868274688721,0.9226054787635803,0.518219268321991,0.6967284696040602
SWB_ASR,gap_0,shift_hold_p_future_before,2.0,0.8303682804107666,0.9090948462486267,0.4209530889987946,0.64587359061439
SWB_ASR,gap_1000,shift_hold_p_future_after,2.0,0.740420663356781,0.8539390683174133,0.3226464867591858,0.5814871964436608
SWB_ASR,gap_1000,shift_hold_p_future_before,2.0,0.7504806399345398,0.8593806982040405,0.34970321059226983,0.5966475623645249
SWB_ASR,gap_1250,shift_hold_p_future_after,2.0,0.6832229018211364,0.8004902601242065,0.3687803208827972,0.5829784748386343
SWB_ASR,gap_1250,shift_hold_p_future_before,2.0,0.6995953559875489,0.8093379020690918,0.40532997250556946,0.603092964163673
SWB_ASR,gap_1500,shift_hold_p_future_after,2.0,0.6268605470657349,0.7302498936653137,0.4084088861942291,0.5694656488549619
SWB_ASR,gap_1500,shift_hold_p_future_before,2.0,0.6348064303398132,0.7465885043144226,0.39862167239189145,0.5725067717311008
SWB_ASR,gap_2000,shift_hold_p_future_after,2.0,1.0,1.0,0.0,1.0
SWB_ASR,gap_2000,shift_hold_p_future_before,2.0,1.0,1.0,0.0,1.0
SWB_ASR,gap_500,shift_hold_p_future_after,2.0,0.7844738364219666,0.8843114137649536,0.38195747137069697,0.6165584455178484
SWB_ASR,gap_500,shift_hold_p_future_before,2.0,0.7789061427116394,0.8794338941574097,0.37360707521438596,0.6131074898199689
SWB_ASR,gap_750,shift_hold_p_future_after,2.0,0.7687210083007813,0.8781098842620849,0.3277824640274048,0.5909158822650531
SWB_ASR,gap_750,shift_hold_p_future_before,2.0,0.7721181511878967,0.8773808002471923,0.3478120803833008,0.6014220300401649
SWB_GT,ekstedt_events,shift_hold_p_future_after,2.0,0.8154344201087952,0.8982216000556946,0.47166249752044676,0.6638627777890103
SWB_GT,ekstedt_events,shift_hold_p_future_before,2.0,0.7952954292297363,0.8884130001068116,0.40862659811973573,0.6314082963829301
SWB_GT,gap_0,shift_hold_p_future_after,2.0,0.8598740935325623,0.9250369191169738,0.5209969222545624,0.6957162129798785
SWB_GT,gap_0,shift_hold_p_future_before,2.0,0.8356265425682068,0.9129932403564454,0.433283531665802,0.6510145383139339
SWB_GT,gap_1000,shift_hold_p_future_after,2.0,0.7497755646705627,0.8590123653411865,0.34775868654251096,0.595326793783754
