f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
0.619066596,0.7124682069,0.456730783,gap_1250,1250,0.6165224193,CND_video_only
0.642506361,0.7151355147,0.5162738562,gap_1250,1250,0.6356845804,CND_video_only
0.6253258586,0.6770098805,0.5354969501,gap_1250,1250,0.6272581257,CND_video_only
0.6140099764,0.7086514235,0.449519217,gap_1250,1250,0.6045567043,CND_video_only
0.6064226031,0.7149937749,0.4177215099,gap_1250,1250,0.5930567207,CND_video_only
0.6092325449,0.7042606473,0.4562211931,gap_1500,1500,0.6197145406,CND_video_only
0.6393165588,0.708661437,0.527659595,gap_1500,1500,0.6323371989,CND_video_only
0.6229934096,0.6722454429,0.5436893106,gap_1500,1500,0.6151650312,CND_video_only
0.6073737144,0.67469877,0.4989690781,gap_1500,1500,0.5915254237,CND_video_only
0.5982747674,0.7081807256,0.4213075042,gap_1500,1500,0.5874888492,CND_video_only
0.839443326,0.8893055916,0.7117350698,ekstedt_events,250,0.8215362769,CND_multimodal_early_fusion
0.8297270536,0.8829071522,0.6935212016,ekstedt_events,250,0.8049127807,CND_multimodal_early_fusion
0.8275268078,0.8807231784,0.6912792325,ekstedt_events,250,0.8063665785,CND_multimodal_early_fusion
0.881182313,0.9258354902,0.7114589214,gap_0,0,0.8507207795,CND_multimodal_early_fusion
0.8732183576,0.9214860797,0.6897566319,gap_0,0,0.8363262237,CND_multimodal_early_fusion
0.8716236353,0.9179700017,0.6954648495,gap_0,0,0.8367605219,CND_multimodal_early_fusion
0.8065099716,0.8565212488,0.6990645528,gap_500,500,0.7941954573,CND_multimodal_early_fusion
0.7986104488,0.8544520736,0.6786389351,gap_500,500,0.7838479834,CND_multimodal_early_fusion
0.7974200845,0.8484848738,0.6877113581,gap_500,500,0.7851687543,CND_multimodal_early_fusion
0.7854986191,0.8349931836,0.6892240047,gap_750,750,0.7762023576,CND_multimodal_early_fusion
0.7678105831,0.8224771619,0.661475718,gap_750,750,0.76460428,CND_multimodal_early_fusion
0.7738832235,0.8230875731,0.6781733036,gap_750,750,0.7636499738,CND_multimodal_early_fusion
0.7644733191,0.8133724928,0.675606668,gap_1000,1000,0.7532830133,CND_multimodal_early_fusion
0.7476305366,0.8044813871,0.6443129778,gap_1000,1000,0.7488125473,CND_multimodal_early_fusion
0.7534428239,0.8028116822,0.6637223959,gap_1000,1000,0.7458675507,CND_multimodal_early_fusion
0.7563992739,0.8021461964,0.67688936,gap_1250,1250,0.7564150025,CND_multimodal_early_fusion
0.7463173866,0.8000000119,0.6530147791,gap_1250,1250,0.747194416,CND_multimodal_early_fusion
0.7392857075,0.7794729471,0.6694386601,gap_1250,1250,0.7433879573,CND_multimodal_early_fusion
0.7507535219,0.7952127457,0.6791666746,gap_1500,1500,0.7532560214,CND_multimodal_early_fusion
0.7438026667,0.7647058964,0.710144937,gap_1500,1500,0.7573595004,CND_multimodal_early_fusion
0.7554365396,0.7923497558,0.69599998,gap_1500,1500,0.76014719,CND_multimodal_early_fusion
0.8444139361,0.8900772333,0.7274602056,ekstedt_events,250,0.8259005998,CND_multimodal_late_fusion
0.8352264166,0.8862169981,0.7046285272,ekstedt_events,250,0.814373758,CND_multimodal_late_fusion
0.8381328583,0.8868548274,0.7133452892,ekstedt_events,250,0.8182635185,CND_multimodal_late_fusion
0.8394280672,0.8894484043,0.7113149762,ekstedt_events,250,0.8189639463,CND_multimodal_late_fusion
0.8396420479,0.8900443912,0.7105506063,ekstedt_events,250,0.8223797303,CND_multimodal_late_fusion
0.8825191855,0.9280397296,0.7094991207,gap_0,0,0.8528747855,CND_multimodal_late_fusion
0.8732595444,0.9211832285,0.6911053658,gap_0,0,0.837234258,CND_multimodal_late_fusion
0.8798398376,0.9247633815,0.7090888619,gap_0,0,0.8462936807,CND_multimodal_late_fusion
0.8792384863,0.9246329069,0.7066980004,gap_0,0,0.8436219505,CND_multimodal_late_fusion
0.8808310628,0.9250634313,0.7127071619,gap_0,0,0.850453308,CND_multimodal_late_fusion
0.8149898648,0.8637938499,0.7101382613,gap_500,500,0.8008501799,CND_multimodal_late_fusion
0.8035945892,0.8584250212,0.6857956052,gap_500,500,0.7912008421,CND_multimodal_late_fusion
0.8058096766,0.8577595353,0.6941995621,gap_500,500,0.7919059875,CND_multimodal_late_fusion
0.8058818579,0.8576673865,0.6946246624,gap_500,500,0.7946340453,CND_multimodal_late_fusion
0.8040409088,0.8536772132,0.6974011064,gap_500,500,0.7964278505,CND_multimodal_late_fusion
0.7826141119,0.8349138498,0.6808829308,gap_750,750,0.776432192,CND_multimodal_late_fusion
0.7764517665,0.8343487978,0.6638330817,gap_750,750,0.7673959557,CND_multimodal_late_fusion
0.774579227,0.8285216093,0.6696528792,gap_750,750,0.7663854968,CND_multimodal_late_fusion
0.7735627294,0.8271173239,0.6693907976,gap_750,750,0.7732370002,CND_multimodal_late_fusion
0.7736592889,0.8187487721,0.6859533191,gap_750,750,0.7702423331,CND_multimodal_late_fusion
0.767798543,0.8222222328,0.6688918471,gap_1000,1000,0.7637574908,CND_multimodal_late_fusion
0.7566908002,0.8156583905,0.6495263577,gap_1000,1000,0.7539747241,CND_multimodal_late_fusion
