,f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
0,0.6933247447013855,0.8012820482254028,0.4038461446762085,gap_1250,shift_hold_p_future_after,0.5983819620900144,SWB_GT
1,0.6960541605949402,0.8057324886322021,0.4019607901573181,gap_1250,shift_hold_p_future_after,0.5989076783784573,SWB_GT
2,0.6741712093353271,0.8073959946632385,0.3169398903846741,gap_1250,shift_hold_p_future_after,0.5606618183942288,SWB_GT
3,0.6960477232933044,0.8167701959609985,0.3723404109477997,gap_1250,shift_hold_p_future_after,0.5888606559771021,SWB_GT
4,0.6872506737709045,0.7987220287322998,0.3883495032787323,gap_1250,shift_hold_p_future_after,0.5895324045678905,SWB_GT
0,0.6974265575408936,0.8161993622779846,0.378947377204895,gap_1250,shift_hold_p_future_before,0.5916352697216625,SWB_GT
1,0.7121567726135254,0.8231611847877502,0.41450777649879456,gap_1250,shift_hold_p_future_before,0.6109845497824118,SWB_GT
2,0.6979246735572815,0.8186046481132507,0.3743315637111664,gap_1250,shift_hold_p_future_before,0.5905108209936037,SWB_GT
3,0.7071077823638916,0.8115016222000122,0.42718446254730225,gap_1250,shift_hold_p_future_before,0.6138321796781449,SWB_GT
4,0.7111471891403198,0.8090614676475525,0.44859811663627625,gap_1250,shift_hold_p_future_before,0.624930634656386,SWB_GT
0,0.6619126796722412,0.7916666865348816,0.3877550959587097,gap_1500,shift_hold_p_future_after,0.5883403102684068,SWB_GT
1,0.6399751305580139,0.7148594260215759,0.48175182938575745,gap_1500,shift_hold_p_future_after,0.6058236887466142,SWB_GT
2,0.6414252519607544,0.7265625,0.4615384638309479,gap_1500,shift_hold_p_future_after,0.5968973159320364,SWB_GT
3,0.6793293952941895,0.7885304689407349,0.44859811663627625,gap_1500,shift_hold_p_future_after,0.613395715341049,SWB_GT
4,0.6269429922103882,0.7251908183097839,0.4193548262119293,gap_1500,shift_hold_p_future_after,0.572272839202167,SWB_GT
0,0.6303407549858093,0.7632508873939514,0.34951457381248474,gap_1500,shift_hold_p_future_before,0.5573750307805959,SWB_GT
1,0.6306852102279663,0.7044534683227539,0.4748201370239258,gap_1500,shift_hold_p_future_before,0.5981901009603545,SWB_GT
2,0.6152927279472351,0.7517730593681335,0.32692307233810425,gap_1500,shift_hold_p_future_before,0.5416769268653041,SWB_GT
3,0.6536052227020264,0.761904776096344,0.4247787594795227,gap_1500,shift_hold_p_future_before,0.5904949519822704,SWB_GT
4,0.6642634868621826,0.7692307829856873,0.44247788190841675,gap_1500,shift_hold_p_future_before,0.6023762620044324,SWB_GT
0,1.0,1.0,0.0,gap_2000,shift_hold_p_future_after,1.0,SWB_GT
1,1.0,1.0,0.0,gap_2000,shift_hold_p_future_after,1.0,SWB_GT
2,1.0,1.0,0.0,gap_2000,shift_hold_p_future_after,1.0,SWB_GT
3,1.0,1.0,0.0,gap_2000,shift_hold_p_future_after,1.0,SWB_GT
4,1.0,1.0,0.0,gap_2000,shift_hold_p_future_after,1.0,SWB_GT
0,1.0,1.0,0.0,gap_2000,shift_hold_p_future_before,1.0,SWB_GT
1,1.0,1.0,0.0,gap_2000,shift_hold_p_future_before,1.0,SWB_GT
2,1.0,1.0,0.0,gap_2000,shift_hold_p_future_before,1.0,SWB_GT
3,1.0,1.0,0.0,gap_2000,shift_hold_p_future_before,1.0,SWB_GT
4,1.0,1.0,0.0,gap_2000,shift_hold_p_future_before,1.0,SWB_GT
0,0.8104575872421265,0.8978816866874695,0.447430819272995,ekstedt_events,shift_hold_p_future_after,0.6499619349932113,SWB_ASR
1,0.8218393325805664,0.9013545513153076,0.49165400862693787,ekstedt_events,shift_hold_p_future_after,0.6741742343062527,SWB_ASR
2,0.811686635017395,0.8984363675117493,0.4514601528644562,ekstedt_events,shift_hold_p_future_after,0.6520209058149644,SWB_ASR
3,0.8010514974594116,0.8935549855232239,0.4169329106807709,ekstedt_events,shift_hold_p_future_after,0.634607817673672,SWB_ASR
4,0.8017921447753906,0.8907513618469238,0.43239113688468933,ekstedt_events,shift_hold_p_future_after,0.6432299888487805,SWB_ASR
0,0.7913132905960083,0.8850337862968445,0.40214067697525024,ekstedt_events,shift_hold_p_future_before,0.6276165317996388,SWB_ASR
1,0.79864501953125,0.8842889070510864,0.44301074743270874,ekstedt_events,shift_hold_p_future_before,0.6505684866846351,SWB_ASR
